"country","days.to.start_rel","days.to.10pct_fromstart","daily.vac.per.mil_6moavg","people_vaccinated_per_hundred_last","daily.vac.per.mil_max","total_vaccinations_per_hundred_last","people_fully_vaccinated_per_hundred_last"
"Andorra",54,70,3697.16666666667,74.74,11182,196.5,68.99
"Anguilla",64,NA,6016.4,69.02,16727,147.95,63.13
"Argentina",27,123,1928.33333333333,89.34,8312,206.22,80.04
"Aruba",NA,NA,NA,81.55,11922,156.63,75.08
"Australia",81,100,3166.33333333333,85.56,10921,210,79.46
"Austria",37,84,5678.16666666667,75.28,12020,199.84,72.72
"Azerbaijan",46,135,2975.66666666667,51.93,8051,128.72,46.91
"Bahrain",21,68,5392.33333333333,70.43,11032,195.06,69.38
"Bangladesh",55,219,265.5,75.35,9037,129.76,51.91
"Barbados",75,14,4565.5,55.68,10942,107.65,51.98
"Belarus",26,202,667.4,60.19,7137,116.99,54.08
"Belgium",26,94,3526,79.27,10113,215.36,78.09
"Belize",88,64,2035,57.99,9928,113.81,51.18
"Bermuda",39,27,8555,76.24,12449,201.45,74.48
"Bhutan",114,NA,18333.5,87.53,92926,222.88,74.03
"Bolivia",62,119,2656.66666666667,58.57,5727,106.39,47.36
"Brazil",46,104,3029.5,83.1,7650,183.62,72.47
"British Virgin Islands",NA,NA,NA,62.48,7593,121.06,57.39
"Cambodia",69,112,4426.66666666667,86.29,10902,209.84,81.75
"Canada",12,108,3953.66666666667,85.59,13839,213.56,81.24
"Cayman Islands",24,40,9365.4,89.39,14391,207.58,86.66
"Chile",22,67,4660.16666666667,92.67,10146,254.45,89.76
"China",NA,NA,NA,88.11,12049,221.45,85.8
"Colombia",101,80,3842.71428571429,80.77,6683,151.48,65.75
"Cook Islands",NA,NA,NA,84.96,31926,157.73,72.77
"Costa Rica",22,130,2189.33333333333,82.41,6532,186.46,75.11
"Croatia",28,122,2763.66666666667,56.52,6834,127.32,54.65
"Cuba",161,20,14248.6666666667,93.75,18337,309.4,87.33
"Curacao",117,3,4734.16666666667,64.94,11687,148.52,59.6
"Cyprus",35,87,5350.5,76.35,10888,192.97,70.98
"Denmark",6,114,3771.5,83.25,10393,226.72,82.51
"Dominican Republic",75,75,4337,65.14,6632,139.55,53.52
"Ecuador",49,132,1740.66666666667,82.59,14369,178.87,75.83
"El Salvador",77,76,3976.16666666667,70.19,10293,157.83,65.54
"Estonia",25,95,3406.66666666667,64.7,6693,147.54,63.37
"Faeroe Islands",58,69,3710.16666666667,84.98,8603,210.55,83.28
"Fiji",105,55,6268.16666666667,74.01,15809,142.78,68.77
"Finland",32,91,4211.2,80.37,8396,206.9,76.35
"France",25,95,3546.5,80.03,9276,208.92,77.59
"French Polynesia",62,91,3039,65.12,11199,129.12,63.99
"Germany",25,95,4093.33333333333,75.68,9144,202.8,74.81
"Gibraltar",39,NA,12787.8333333333,124.57,27248,335.81,121.45
"Greece",26,94,3186.83333333333,75.8,8997,194.45,72.71
"Greenland",56,96,6253,72.52,17708,140.23,67.7
"Guyana",71,84,2635.83333333333,54.71,6224,102.65,41.54
"Honduras",88,156,1613.33333333333,51.15,8032,105.06,NA
"Iceland",28,94,4419.83333333333,83.93,15209,217.9,78.49
"India",44,137,1495.66666666667,69.32,6526,127.51,56.82
"Indonesia",41,170,1191.83333333333,69.1,6437,125.09,52.29
"Iran",68,175,1060.83333333333,73.98,11679,166.68,65.31
"Ireland",26,94,4012.5,81.49,10715,213.23,79.88
"Israel",17,13,7142.83333333333,72.12,16103,193.95,65.9
"Italy",25,95,3852.16666666667,83.88,9169,222.38,78.7
"Japan",77,104,4580.66666666667,80.72,10535,182.54,79.56
"Kazakhstan",60,121,2173.16666666667,49.41,6391,109.98,47.34
"Kiribati",181,69,4323,63.01,10677,104.56,41.54
"Kuwait",75,62,2318,78.4,8365,175.4,75.71
"Lao PDR",105,109,3587.83333333333,67.25,6607,125.92,58.67
"Latvia",2,148,2895.83333333333,71.9,9125,152.93,69.59
"Liechtenstein",19,101,4715.8,69.82,10273,183.59,68.89
"Lithuania",25,95,3895.5,72.36,7887,165.49,69.53
"Luxembourg",26,94,3070.33333333333,75.53,10792,200.13,NA
"Malaysia",84,127,4645.33333333333,82.49,16784,205.49,78.58
"Maldives",62,NA,4824.83333333333,73.26,9711,166.18,68.27
"Malta",46,43,7170.33333333333,91.22,11558,240.95,89.77
"Mauritius",54,107,3611.8,78.57,8489,195.87,75.66
"Mexico",22,159,1639.33333333333,65.44,11849,139.86,60.61
"Monaco",NA,NA,NA,NA,7439,NA,NA
"Mongolia",85,NA,7544,68.23,21078,164.29,65.27
"Montenegro",80,NA,3664.83333333333,45.95,13244,105.67,44.61
"Morocco",79,41,4276.28571428571,66.55,9626,144.32,62.42
"Nepal",61,181,1321.85714285714,72.77,13074,125.47,59.13
"Netherlands",38,84,5973.83333333333,78.33,13599,197.77,71.97
"New Caledonia",62,91,2595.5,65.17,13788,127.44,62.27
"New Zealand",74,137,2711.66666666667,83.16,15897,207.79,77.34
"Nicaragua",89,249,498.75,81.46,4729,141.4,59.94
"Niue",201,NA,24370,102.23,45849,257.81,87.79
"Norway",0,120,3405.33333333333,79.21,11097,205.57,73.57
"Oman",26,NA,673,61.77,9818,132.49,57.63
"Panama",49,137,1864.83333333333,76.63,16375,174.3,67.08
"Paraguay",82,129,1863.33333333333,52.58,6111,112.54,NA
"Peru",68,143,2366.66666666667,82.95,9004,186.37,72.98
"Poland",26,94,3689.5,59.6,8112,141.24,58.75
"Portugal",25,95,3764.5,95.03,11568,224.95,92.51
"Qatar",77,NA,7855,87.9,10807,NA,87.9
"Russian Federation",13,168,1399.4,53.93,5385,110.31,49.37
"Rwanda",75,203,319.833333333333,65.48,9634,124.7,56.75
"Saint Helena",63,NA,12742.6666666667,NA,15915,NA,NA
"Samoa",153,28,5147,72.74,9128,137.62,64.88
"San Marino",87,NA,7674,77.35,14172,199.77,69.26
"Saudi Arabia",NA,NA,NA,72.39,10647,162.95,67.12
"Serbia",37,52,4273.66666666667,48.67,5671,123.32,47.5
"Seychelles",38,NA,9404.16666666667,85.07,21939,200.3,80.8
"Singapore",28,92,4698.33333333333,91.47,11725,248.31,89.55
"Slovakia",32,91,4015.8,51.72,6367,129.23,50.69
"Slovenia",25,95,3259.5,60.8,7144,142.56,58.61
"Korea, Rep.",86,95,3624.33333333333,87.46,15009,232.45,86.51
"Spain",33,87,5807.33333333333,87.87,12177,198.27,83.56
"Sri Lanka",57,154,1322.83333333333,78.64,21207,178.13,65.96
"Sweden",32,91,4342.8,76.72,10326,203.37,74.67
"Switzerland",19,101,4003,69.74,9916,178.68,68.65
"Taiwan",109,NA,2564.33333333333,81.11,14362,198.4,75.27
"Tajikistan",156,NA,2674.33333333333,51.83,6169,103.81,45.94
"Thailand",87,124,1543,76.72,10885,177.27,71.05
"Tonga",139,NA,4130.8,71.06,11503,135.78,64.72
"Tunisia",100,111,2676.33333333333,60,8826,108.91,53.06
"Turkey",72,48,4698.42857142857,67.84,11232,171.35,62.11
"United Arab Emirates",39,NA,6892.75,NA,9021,NA,NA
"Uruguay",87,33,8131.16666666667,84.8,11047,219.25,78.7
"United States",11,78,5391.66666666667,76.55,9758,167.37,65.16
"Uzbekistan",119,111,2396.66666666667,54.75,7207,128.37,39.97
"Venezuela, RB",77,NA,958,77.19,16251,131.9,49.77
"Afghanistan",82,308,146.5,12.43,920,14.05,10.75
"Albania",39,121,2983.66666666667,44.23,5792,94.28,41.73
"Algeria",58,218,84,16.72,5759,30.72,13.7
"Angola",89,246,420,31.77,2983,49.02,16.53
"Armenia",119,194,761,37.51,4908,70.38,31.97
"Bahamas",101,84,2448.83333333333,41.34,8395,83.43,39.08
"Benin",161,236,186,22.31,2830,24.58,17.78
"Botswana",113,130,1474.33333333333,60.02,5563,60.02,51.23
"Bulgaria",27,154,1336.16666666667,30.13,2287,NA,NA
"Burkina Faso",182,NA,152,9.85,1286,10.84,5.36
"Burundi",321,NA,4.2,0.08,5,0.09,0.07
"Cameroon",130,NA,69.6666666666667,3.94,229,4.67,2.99
"Central African Republic",161,248,471.75,16.65,1497,18.3,15.85
"Chad",190,NA,79,1.63,162,2.44,0.87
"Comoros",140,104,2284.66666666667,38.39,5622,71.81,33.9
"Congo",133,306,388.166666666667,12.03,1253,14.46,11.31
"Djibouti",136,275,423.25,14.34,800,16.38,10.35
"Dominica",71,NA,4575.2,44.52,9782,85.51,40.99
"Egypt, Arab Rep.",53,257,349.2,39.51,4696,68.45,28.94
"Equatorial Guinea",104,79,1347.16666666667,17.91,3458,32.24,14.33
"Ethiopia",127,327,170.5,16.98,4360,20.74,NA
"Gabon",110,300,378,13.05,2227,24.09,11
"Gambia, The",97,318,487.333333333333,13.32,1454,14.61,12.79
"Georgia",102,NA,1968.5,39.57,6086,70.91,31.34
"Ghana",89,318,73,23.55,2663,37.95,14.4
"Grenada",71,84,1933.5,38.05,4203,76.11,33.18
"Guatemala",85,157,915.666666666667,39.64,4499,80.82,31.1
"Guinea",107,227,673,25.16,5450,43.23,18.07
"Haiti",226,NA,76.5,1.35,147,2.07,0.91
"Hungary",47,NA,6029.57142857143,66.38,13069,NA,64.05
"Iraq",89,222,253,24.27,7755,41.32,16.74
"Jamaica",97,176,1149.6,25.85,3076,45.86,21.99
"Jordan",41,145,2769.83333333333,45.71,7474,93.97,42.7
"Kenya",92,320,258.333333333333,20.81,2145,30.44,13.95
"Kyrgyzstan",116,157,1029.16666666667,21.81,2013,41.47,17.62
"Lebanon",98,113,2026.28571428571,36.85,3450,76.59,31.91
"Lesotho",97,195,293.75,36.23,2856,39.74,33.7
"Liberia",161,210,541.333333333333,19.67,1417,NA,19.05
"Libya",136,137,1541.5,31.11,3397,47.96,15.75
"Madagascar",161,NA,216,3.74,285,4.43,3.56
"Malawi",105,NA,360.833333333333,7.99,1071,10.15,4.39
"Mali",118,NA,83,5.88,689,8.32,4.23
"Mauritania",114,201,437.833333333333,32.33,14372,55.06,21.97
"Moldova",93,119,1783,26.87,3150,NA,NA
"Montserrat",68,30,2074.5,37.88,3814,83.5,35.8
"Mozambique",95,242,119.25,40.3,9781,73.26,35.68
"Myanmar",55,249,623.8,43.16,5553,81.53,38.38
"Namibia",106,203,724.666666666667,17.18,2397,31.48,14.62
"Niger",116,NA,72.2,8.66,3320,10.64,6.13
"Nigeria",92,NA,147.4,8.71,980,13.05,4
"Pakistan",62,180,1141.66666666667,56.37,5559,95.52,43.98
"Papua New Guinea",118,NA,123.333333333333,3.41,570,6.15,2.74
"Philippines",88,155,1343.33333333333,62.62,14671,NA,NA
"Romania",25,95,2271.66666666667,NA,4073,NA,NA
"Saint Lucia",76,92,1912,31.25,5960,63.05,28.15
"Senegal",82,NA,655.666666666667,8.42,2164,NA,6
"Sierra Leone",102,330,118,18.63,1602,22.84,11.85
"Solomon Islands",111,175,836.4,30.53,2855,44.79,14.25
"Somalia",136,334,152.333333333333,11.43,1788,14.28,7.66
"South Africa",76,167,807.5,33.97,3527,52.72,28.82
"South Sudan",124,NA,34,2.86,457,3.27,2.44
"Sudan",98,362,119.333333333333,11.52,3543,13.65,6.12
"Suriname",82,99,1867.66666666667,45.06,6049,84.96,39.9
"Syria",89,348,91.2,12.26,1056,17.86,6.94
"Tanzania",249,NA,337.666666666667,5.85,600,8.18,4.52
"Togo",97,241,361.666666666667,18.28,4479,32.25,13.51
"Uganda",97,275,164,29.82,6250,36.2,6.34
"Ukraine",84,189,924,35.37,5780,70.03,33.8
"Vanuatu",181,98,2365.8,35.05,3851,58.53,23.47
"Yemen",158,NA,136.4,2.05,336,2.57,1.26
"Zambia",133,319,228.6,13.27,1301,NA,NA
"Zimbabwe",78,165,1192.83333333333,28.93,2791,52.35,22.53
"United Kingdom",NA,NA,NA,NA,NA,NA,NA
"DRC",NA,NA,NA,NA,NA,NA,NA
"Antigua And Barbuda",NA,NA,NA,NA,NA,NA,NA
"Bosnia And Herzegovina",NA,NA,NA,NA,NA,NA,NA
"Brunei Darussalam",NA,NA,NA,NA,NA,NA,NA
"Cabo Verde",NA,NA,NA,NA,NA,NA,NA
"Caribbean Netherlands",NA,NA,NA,NA,NA,NA,NA
"Channel Islands",NA,NA,NA,NA,NA,NA,NA
"China Hong Kong Sar",NA,NA,NA,NA,NA,NA,NA
"China Macao Sar",NA,NA,NA,NA,NA,NA,NA
"Cote D Ivoire",NA,NA,NA,NA,NA,NA,NA
"Czech Republic",NA,NA,NA,NA,NA,NA,NA
"Eritrea",NA,NA,NA,NA,NA,NA,NA
"Falkland Islands Malvinas",NA,NA,NA,NA,NA,NA,NA
"French Guiana",NA,NA,NA,NA,NA,NA,NA
"Guadeloupe",NA,NA,NA,NA,NA,NA,NA
"Guinea Bissau",NA,NA,NA,NA,NA,NA,NA
"Holy See",NA,NA,NA,NA,NA,NA,NA
"Isle Of Man",NA,NA,NA,NA,NA,NA,NA
"Macedonia",NA,NA,NA,NA,NA,NA,NA
"Marshall Islands",NA,NA,NA,NA,NA,NA,NA
"Martinique",NA,NA,NA,NA,NA,NA,NA
"Mayotte",NA,NA,NA,NA,NA,NA,NA
"Micronesia",NA,NA,NA,NA,NA,NA,NA
"Palau",NA,NA,NA,NA,NA,NA,NA
"Reunion",NA,NA,NA,NA,NA,NA,NA
"Saint Barthelemy",NA,NA,NA,NA,NA,NA,NA
"Saint Kitts And Nevis",NA,NA,NA,NA,NA,NA,NA
"Saint Martin",NA,NA,NA,NA,NA,NA,NA
"Saint Pierre And Miquelon",NA,NA,NA,NA,NA,NA,NA
"Saint Vincent And The Grenadines",NA,NA,NA,NA,NA,NA,NA
"Sao Tome And Principe",NA,NA,NA,NA,NA,NA,NA
"Sint Maarten",NA,NA,NA,NA,NA,NA,NA
"State Of Palestine",NA,NA,NA,NA,NA,NA,NA
"Swaziland",NA,NA,NA,NA,NA,NA,NA
"Timor Leste",NA,NA,NA,NA,NA,NA,NA
"Trinidad And Tobago",NA,NA,NA,NA,NA,NA,NA
"Turks And Caicos Islands",NA,NA,NA,NA,NA,NA,NA
"Viet Nam",NA,NA,NA,NA,NA,NA,NA
"Wallis And Futuna Islands",NA,NA,NA,NA,NA,NA,NA
"Western Sahara",NA,NA,NA,NA,NA,NA,NA
